	title	cn	_merge
143	Title: New York State atlas [cartographic material]. 	G1250 .N4 1998	both
144	Title: New York State atlas [cartographic material]. 	G1250 .N4 1998 V. SUPPL.	left_only
145	Title: The Appalachian region of New York State : an atlas of 	G1252.A6 N4 1969	both
146	Title: Columbia Marketing Corporation's Westchester County 	G1253.W5 C6	left_only
147	Title: New York City, New York, map index. 	G1254.N4 C5	left_only
148	Title: New York city community health atlas 1994 / prepared 	G1254.N4 K7 1994	left_only
149	Title: New York City in the 1980's : a social, economic, and 	Produced Thursday, February 15, 2024 at 4:11 PM	left_only
150	Title: Atlas of Mexico / [cartographic material] / Stanley A. 	G1545 .T4 1975	left_only
151	Title: The atlas of Central America and the Caribbean / The 	G1550 .D5 1985	left_only
152	Title: Atlas of Central America / [cartographic material] / 	G1550 .T4 1979	left_only
153	Title: Atlas of South America / Moshe Brawer. 	G1700 .B7 1991	left_only
154	Title: The atlas of the Arab world : geopolitics and society 	G1785 .B68 1991	left_only
155	Title: An Historical atlas of Islam / edited by William C. 	G1786.S1 H6 1981	left_only
156	Title: An Historical atlas of Islam [cartographic material] = 	G1786.S1 H6 2002	both
157	Title: An Historical atlas of Islam [cartographic material] = 	G1786.S1 H6 2002	both
158	Title: Augsburg historical atlas of Christianity in the 	G1796.E4 A5 1967	left_only
159	Title: A military history and atlas of the Napoleonic Wars / 	G1796.S62 E8 1978	left_only
160	Title: Historical atlas of the Holocaust / United States 	G1797.21.E29 H5 1995	left_only
161	Title: Historical atlas of the Holocaust / United States 	G1797.21.E29 H5 1995	left_only
162	Title: Historical atlas of the Holocaust / United States 	G1797.21.E29 H5 1995	left_only
163	Title: The Times atlas of European history / [editorial 	G1797.21.S1 T5 1994	left_only
164	Title: The Economist atlas of the new Europe. 	Produced Thursday, February 15, 2024 at 4:11 PM	left_only
165	Title: Business atlas of Western Europe = Atlas des affaires 	G1801.G1 B8 1974	left_only
166	Title: A new social atlas of Britain / [cartographic 	G1812.21.E1 D6 1995	left_only
167	Title: Historical atlas of Britain / Malcolm Falkus, John 	G1812.21.S1 H57 1981	left_only
168	Title: The Penguin atlas of British and Irish history / 	G1812.21.S1 P46 2002	left_only
169	Title: An atlas of Anglo-Saxon England / David Hill. 	G1816.S2 1981 .H5	left_only
170	Title: Northern Ireland : a census atlas / [by] Paul A. 	G1829.21.E2 C6 1978	left_only
171	Title: Poland, a historical atlas / by Iwo Cyprian 	G1951.S1 P34 1987	left_only
172	Title: Atlas de historia de España. J. Vicens Vives. 	G1966.S1 V5 1973	left_only
173	Title: Atlas of the Greek world / by Peter Levi. 	G2000 .L48 1980	left_only
174	Title: Oikonomikos kai koinōnikos atlas tēs Hellados. 	G2001.G1 K3 1964	left_only
175	Title: Historical atlas of East Central Europe / Paul Robert 	G2081 .M35 1993	left_only
176	Title: A concise historical atlas of Eastern Europe / 	G2081.S1 H8 1996	left_only
177	Title: Atlas of Russia and the independent republics / Moshe 	G2110 .B7 1994	left_only
178	Title: Atlas of Russia and the independent republics / Moshe 	G2110 .B7 1994	left_only
179	Title: USSR agriculture atlas. 	G2111.J1 U5	left_only
180	Title: Armenia [cartographic material] : a historical atlas / 	G2164.61.S1 H4 2001	both
181	Title: The Cambridge atlas of the Middle East and North 	G2205 .C3 1987	both
182	Title: Rand McNally illustrated atlas of the Middle East / 	G2205 .R3	left_only
183	Title: Historical atlas of the Middle East / G.S.P. 	G2206.S1 F74 1993	left_only
184	Title: Atlas of the Arab-Israeli conflict [cartographic 	G2206.S1 G5 1993	left_only
185	Title: An historical geography of the Ottoman empire : from 	G2211.S1 P5	left_only
186	Title: Holman Bible atlas [cartographic material] : a 	G2230 .B63 1998	left_only
187	Title: Interdisciplinary atlas of the Bible [cartographic 	G2230 .P4413 1999	left_only
188	Title: The new Israel atlas; Bible to present day. 	G2235 .V55	left_only
189	Title: Israel [cartographic material] : the historical atlas 	G2236.S1 I8 1997	left_only
190	Title: Student map manual : historical geography of the Bible 	G2236.S1 S88 1979	both
191	Title: The illustrated atlas of Jerusalem / Dan Bahat ; with 	G2239.J4 B32 1990	left_only
192	Title: Atlas of South Asia : fully annotated / Ashok K. Dutt 	G2260 .D8 1987	left_only
193	Title: An Atlas of India. 	G2280 .A85 1990	both
194	Title: The Contemporary atlas of China / consulting editor 	G2305 .C66 1988	left_only
195	Title: Atlas of China, by Chiao-min Hsieh. Edited by 		left_only
196	Title: China : a provincial atlas / Chiao-min Hsieh, Jean Kan 	G2305 .H845 1995	both
197	Title: People's Republic of China--Atlas. Nov. 1971. 	G2306.A1 U5	left_only
198	Title: People's Republic of China--Atlas. Nov. 1971. 	G2306.A1 U5	left_only
199	Title: The national atlas of Korea [cartographic material] / 	G2330 .K83 2009	both
200	Title: Atlas of physical, economic and social resources of 	G2362.M4 U52 1968	left_only
